startid,endid,edist,footdistkm,bikedistkm,cardistkm
E00176227,E00176229,0.03245683411862849,0.233267,0.24252,0.24262899999999998
E00176329,E00176263,0.03502777983259548,0.132802,0.132802,0.840186
E00176227,E00176226,0.03861492060070418,0.017956,0.017956,0.017956
E00176218,E00009054,0.042978858733076275,0.17397900000000002,0.17397900000000002,0.17397900000000002
E00176244,E00176243,0.04702343953815149,0.047201,0.047201,0.046943
E00008938,E00176267,0.05090686771941435,0.14094,0.239537,0.872439
E00176218,E00176217,0.053499972112176046,0.051482999999999994,0.051482999999999994,0.051482999999999994
E00176329,E00008875,0.060622147050361355,0.393825,0.654884,0.6548930000000001
E00176231,E00176226,0.06816141205259767,0.18349000000000001,0.310761,0.31075200000000003
E00008938,E00008940,0.06926728169923402,0.079062,0.151744,0.8545
E00008615,E00008618,0.06931234837310524,0.365221,0.365221,0.365221
E00008892,E00176243,0.06943421250363588,0.08312399999999999,0.08312399999999999,0.08312399999999999
E00009219,E00009214,0.07460435398149211,0.088187,0.088187,0.47087
E00176231,E00008935,0.07582624347809201,0.19825299999999998,0.19825299999999998,0.974171
E00009168,E00009157,0.07792786903285202,0.16419,0.541022,0.540851
E00008615,E00176336,0.08200867608377968,0.211832,0.31423399999999996,0.31423399999999996
E00176244,E00176245,0.08580769586121775,0.6457849999999999,0.6457849999999999,0.646048
E00176231,E00176267,0.08848749731466184,0.111103,0.359418,0.752548
E00009168,E00009165,0.09186283402989641,0.152945,0.152945,0.152775
E00176244,E00008892,0.10165136496869766,0.130327,0.130327,0.130069
E00008892,E00176244,0.10165136496869766,0.130327,0.130327,0.130069
E00008938,E00008936,0.1020830642418372,0.246931,0.269712,0.7750670000000001
E00176227,E00176231,0.10220078277586633,0.201446,0.201446,0.575209
E00176231,E00176227,0.10220078277586633,0.201446,0.292805,0.292796
E00176329,E00176281,0.10232202656322197,0.173,0.173,0.173
E00009219,E00009201,0.10357960326723868,0.16452,0.16452,0.578233
E00008938,E00008935,0.10422799623907668,0.318142,0.318142,1.094061
E00176329,E00008865,0.10519293995795162,0.33516500000000005,0.5962240000000001,0.5962329999999999
E00176329,E00176283,0.10760794654667412,0.155221,0.155221,0.763807
E00176329,E00008866,0.11036675051843377,0.14183,0.365553,0.605309
E00176329,E00008871,0.11448255232123006,0.307282,0.609054,0.77076
E00176227,E00176267,0.11571179361240275,0.16250399999999998,0.45974,0.45974
E00176218,E00176216,0.1182160204372323,0.23431100000000002,0.23431100000000002,0.23431100000000002
E00008938,E00176231,0.12006664815847023,0.11988599999999999,0.11988599999999999,0.119877
E00176231,E00008938,0.12006664815847023,0.11988599999999999,0.11988599999999999,0.74811
E00008615,E00008619,0.124260602288169,0.19644499999999998,0.19644499999999998,0.196447
E00176227,E00008936,0.12726573774984207,0.126593,0.36236799999999997,0.36236799999999997
E00008615,E00009196,0.12827030004253853,0.18331999999999998,0.18331999999999998,1.125058
E00009219,E00009209,0.13018776772037613,0.182503,0.260791,0.674504
E00008938,E00176226,0.13185565627990625,0.213326,0.43065,0.43064199999999997
E00176231,E00176229,0.13332898439954116,0.32376900000000003,0.35362299999999997,0.535437
E00008892,E00176245,0.13371824359084558,0.7761119999999999,0.7761119999999999,0.776111
E00008892,E00008885,0.13453595008759164,0.27562000000000003,0.42186,2.0402929999999997
E00008938,E00008925,0.13966676988103716,0.264337,0.476327,0.603666
E00176218,E00009062,0.13989995045746628,0.16749,0.16749,0.16749
E00008892,E00008889,0.14145964120545343,0.39968,0.586527,2.1154450000000002
E00176329,E00176282,0.14289679723843357,0.17162799999999998,0.254839,0.744105
E00009219,E00009212,0.1430007455085667,0.152925,0.486529,1.0740779999999999
E00009219,E00009213,0.1446780492126137,0.29979300000000003,0.29979300000000003,0.296485
E00176244,E00008885,0.1513735639600777,0.145293,0.29153300000000004,1.91023
E00009168,E00009155,0.15260193448968137,0.292048,0.5365449999999999,0.536354
E00009219,E00009221,0.15380374925535878,0.15485400000000002,0.15485400000000002,0.568567
E00176231,E00008936,0.15400483110935317,0.21709399999999998,0.389593,0.655177
E00176329,E00008864,0.15420579782224064,0.24688200000000002,0.507942,0.507951
E00009168,E00009162,0.15462475905884632,0.275483,0.366628,0.366459
E00176218,E00009053,0.15463647386694934,0.31202300000000005,0.31202300000000005,0.31202300000000005
E00008938,E00176227,0.16646020545464874,0.23128200000000002,0.412694,0.412686
E00176227,E00008938,0.16646020545464874,0.23128200000000002,0.23128200000000002,0.45530200000000004
E00176227,E00008925,0.16844921670646587,0.190966,0.190966,0.190966
E00176227,E00176230,0.17153862078258875,0.217473,0.435054,1.046416
E00176231,E00008940,0.17220289287351515,0.198943,0.27162400000000003,0.7346090000000001
E00176227,E00008935,0.1742047393155481,0.376486,0.399702,0.6813619999999999
E00009168,E00009163,0.17697088438490377,0.234881,0.773053,0.788311
E00176329,E00008879,0.17925500188276694,0.323659,0.323659,0.9869260000000001
E00176231,E00008906,0.18057460630161878,0.322061,0.322061,1.1486679999999998
E00008615,E00009203,0.18273666328624577,0.25675,0.25675,1.038796
E00008938,E00176229,0.182741746957283,0.353605,0.473512,0.655328
E00009219,E00009208,0.18617991251745325,0.563726,0.674876,1.046098
E00176231,E00008921,0.18705542083824422,0.204476,0.204476,1.182058
E00008938,E00008906,0.18924827196304497,0.419248,0.44195,1.268559
E00009168,E00009188,0.19269857311874236,0.28507299999999997,0.661905,0.661732
E00176218,E00008707,0.19343570702950344,0.29585700000000004,0.29585700000000004,0.29585700000000004
E00009168,E00009185,0.20019301121918665,0.31989,0.756083,0.75591
E00008615,E00008617,0.20228530412512497,0.277461,0.311298,1.334196
E00176231,E00008925,0.20457440360179072,0.281468,0.483784,0.48377499999999996
E00176329,E00008903,0.20638605297111545,0.27976100000000004,0.616172,0.6855990000000001
E00176329,E00008904,0.20958923087791886,0.366964,0.7649859999999999,0.823759
E00009219,E00176285,0.20984312366382304,0.35266000000000003,0.62046,0.617125
E00176218,E00009063,0.2103621058698363,0.251028,0.251028,0.251028
E00009219,E00009217,0.21387293585925088,0.28164,0.28164,0.695354
E00176244,E00008905,0.2140155076670592,0.265755,0.286939,1.729215
