startid,endid,edist
E00176227,E00176229,0.03245683411862849
E00176329,E00176263,0.03502777983259548
E00176227,E00176226,0.03861492060070418
E00176218,E00009054,0.042978858733076275
E00176244,E00176243,0.04702343953815149
E00008938,E00176267,0.05090686771941435
E00176218,E00176217,0.053499972112176046
E00176329,E00008875,0.060622147050361355
E00176231,E00176226,0.06816141205259767
E00008938,E00008940,0.06926728169923402
E00008615,E00008618,0.06931234837310524
E00008892,E00176243,0.06943421250363588
E00009219,E00009214,0.07460435398149211
E00176231,E00008935,0.07582624347809201
E00009168,E00009157,0.07792786903285202
E00008615,E00176336,0.08200867608377968
E00176244,E00176245,0.08580769586121775
E00176231,E00176267,0.08848749731466184
E00009168,E00009165,0.09186283402989641
E00176244,E00008892,0.10165136496869766
E00008892,E00176244,0.10165136496869766
E00008938,E00008936,0.1020830642418372
E00176227,E00176231,0.10220078277586633
E00176231,E00176227,0.10220078277586633
E00176329,E00176281,0.10232202656322197
E00009219,E00009201,0.10357960326723868
E00008938,E00008935,0.10422799623907668
E00176329,E00008865,0.10519293995795162
E00176329,E00176283,0.10760794654667412
E00176329,E00008866,0.11036675051843377
E00176329,E00008871,0.11448255232123006
E00176227,E00176267,0.11571179361240275
E00176218,E00176216,0.1182160204372323
E00008938,E00176231,0.12006664815847023
E00176231,E00008938,0.12006664815847023
E00008615,E00008619,0.124260602288169
E00176227,E00008936,0.12726573774984207
E00008615,E00009196,0.12827030004253853
E00009219,E00009209,0.13018776772037613
E00008938,E00176226,0.13185565627990625
E00176231,E00176229,0.13332898439954116
E00008892,E00176245,0.13371824359084558
E00008892,E00008885,0.13453595008759164
E00008938,E00008925,0.13966676988103716
E00176218,E00009062,0.13989995045746628
E00008892,E00008889,0.14145964120545343
E00176329,E00176282,0.14289679723843357
E00009219,E00009212,0.1430007455085667
E00009219,E00009213,0.1446780492126137
E00176244,E00008885,0.1513735639600777
E00009168,E00009155,0.15260193448968137
E00009219,E00009221,0.15380374925535878
E00176231,E00008936,0.15400483110935317
E00176329,E00008864,0.15420579782224064
E00009168,E00009162,0.15462475905884632
E00176218,E00009053,0.15463647386694934
E00008938,E00176227,0.16646020545464874
E00176227,E00008938,0.16646020545464874
E00176227,E00008925,0.16844921670646587
E00176227,E00176230,0.17153862078258875
E00176231,E00008940,0.17220289287351515
E00176227,E00008935,0.1742047393155481
E00009168,E00009163,0.17697088438490377
E00176329,E00008879,0.17925500188276694
E00176231,E00008906,0.18057460630161878
E00008615,E00009203,0.18273666328624577
E00008938,E00176229,0.182741746957283
E00009219,E00009208,0.18617991251745325
E00176231,E00008921,0.18705542083824422
E00008938,E00008906,0.18924827196304497
E00009168,E00009188,0.19269857311874236
E00176218,E00008707,0.19343570702950344
E00009168,E00009185,0.20019301121918665
E00008615,E00008617,0.20228530412512497
E00176231,E00008925,0.20457440360179072
E00176329,E00008903,0.20638605297111545
E00176329,E00008904,0.20958923087791886
E00009219,E00176285,0.20984312366382304
E00176218,E00009063,0.2103621058698363
E00009219,E00009217,0.21387293585925088
E00176244,E00008905,0.2140155076670592
E00009219,E00009215,0.21712378532064364
E00176244,E00008889,0.21865949805572155
E00176329,E00008902,0.22414725758973017
E00176329,E00008874,0.22464593872361316
E00176218,E00009056,0.225658112872114
E00176231,E00176230,0.22637427950188554
E00008615,E00176335,0.22870637632128324
E00176329,E00008881,0.23073716117043203
E00009219,E00009216,0.23283233443190424
E00176227,E00008940,0.2343626640785713
E00176244,E00008888,0.24708276273756166
E00176218,E00008711,0.24730534825188544
E00008615,E00176316,0.24860940892293315
E00009219,E00009222,0.2488428083851291
E00008615,E00009212,0.2503588728525013
E00008615,E00008642,0.25089761924138104
E00008615,E00009208,0.2509337957010891
E00176218,E00009048,0.25118887931598144
E00009219,E00009203,0.25234866773770126
E00008892,E00008888,0.253883992488699
E00008615,E00008624,0.2628858271664652
E00176218,E00009067,0.26373215838988967
E00176218,E00008689,0.2654272893919724
E00009168,E00009175,0.26815845168113167
E00176227,E00008921,0.26976961738668775
E00009219,E00009196,0.27068889129956336
E00008938,E00008921,0.27724642191558263
E00008892,E00008905,0.27759388956167247
E00009168,E00009169,0.27865099046125225
E00009219,E00176326,0.2816139582780004
E00176227,E00008906,0.2820883415545114
E00009219,E00009210,0.2835014713260193
E00176218,E00008710,0.2881442316566537
E00176329,E00008900,0.28882464685170595
E00176329,E00008905,0.2908599586089775
E00008615,E00008641,0.2922799871390067
E00176218,E00008685,0.2924267404342609
E00176329,E00008888,0.29309314158126026
E00008938,E00008937,0.2942485958181766
E00176218,E00009051,0.30335582953356865
E00176231,E00008907,0.3055982391392365
E00176231,E00008919,0.3073153353088821
E00008615,E00008612,0.3093248869538317
E00176218,E00009050,0.3102897822439512
E00176231,E00008937,0.3126825932810413
E00009168,E00009158,0.3134062986683001
E00176244,E00008877,0.31626132330403806
E00009219,E00008624,0.3177078974859345
E00008615,E00009214,0.3186683254310023
E00176329,E00008877,0.3212286702925816
E00176218,E00176265,0.32226281425102865
E00008938,E00008907,0.3232132233758849
E00176227,E00008919,0.3240622213649876
E00008938,E00009190,0.3243576991563594
E00009168,E00009187,0.32479314897329686
E00176218,E00008687,0.32485009278895943
E00008615,E00009205,0.3290471866282432
E00008938,E00176230,0.3297894880374548
E00176329,E00008872,0.3300736270107583
