oa11cd,num_500m,num_1km,mindist
E00000301,0,0,1
E00000302,0,0,1
E00000303,0,0,1
E00000304,0,0,1
E00000305,0,0,1
E00000306,0,0,1
E00000307,0,0,1
E00000308,0,0,1
E00000309,0,0,1
E00000310,0,0,1
E00000311,0,0,1
E00000312,0,0,1
E00000313,0,0,1
E00000314,0,0,1
E00000315,0,0,1
E00000316,0,0,1
E00000317,0,0,1
E00000318,0,0,1
E00000319,0,0,1
E00000320,0,0,1
E00000321,0,0,1
E00000322,0,0,1
E00000323,0,0,1
E00000324,0,0,1
E00000325,0,0,1
E00000326,0,0,1
E00000327,0,0,1
E00000328,0,0,1
E00000329,0,0,1
E00000330,0,0,1
E00000331,0,0,1
E00000332,0,0,1
E00000333,0,0,1
E00000334,0,0,1
E00000335,0,0,1
E00000336,0,0,1
E00000337,0,0,1
E00000338,0,0,1
E00000339,0,0,1
E00000340,0,0,1
E00000341,0,0,1
E00000342,0,0,1
E00000343,0,0,1
E00000344,0,0,1
E00000345,0,0,1
E00000346,0,0,1
E00000347,0,0,1
E00000348,0,0,1
E00000349,0,0,1
E00000350,0,0,1
E00000351,0,0,1
E00000352,0,0,1
E00000353,0,0,1
E00000354,0,0,1
E00000355,0,0,1
E00000356,0,0,1
E00000357,0,0,1
E00000358,0,0,1
E00000360,0,0,1
E00000361,0,0,1
E00000362,0,0,1
E00000363,0,0,1
E00000364,0,0,1
E00000365,0,0,1
E00000366,0,0,1
E00000367,0,0,1
E00000368,0,0,1
E00000369,0,0,1
E00000370,0,0,1
E00000371,0,0,1
E00000372,0,0,1
E00000373,0,0,1
E00000374,0,0,1
E00000375,0,0,1
E00000376,0,0,1
E00000377,0,0,1
E00000378,0,0,1
E00000379,0,0,1
E00000380,0,0,1
E00000381,0,0,1
E00000382,0,0,1
E00000383,0,0,1
E00000384,0,0,1
E00000385,0,0,1
E00000386,0,0,1
E00000387,0,0,1
E00000388,0,0,1
E00000389,0,0,1
E00000390,0,0,1
E00000391,0,0,1
E00000392,0,0,1
E00000393,0,0,1
E00000394,0,0,1
E00000395,0,0,1
E00000396,0,0,1
E00000397,0,0,1
E00000398,0,0,1
E00000399,0,0,1
E00000400,0,0,1
E00000401,0,0,1
E00000402,0,0,1
E00000403,0,0,1
E00000404,0,0,1
E00000405,0,0,1
E00000406,0,0,1
E00000407,0,0,1
E00000408,0,0,1
E00000409,0,0,1
E00000410,0,0,1
E00000411,0,0,1
E00000412,0,0,1
E00000413,0,0,1
E00000414,0,0,1
E00000415,0,0,1
E00000416,0,0,1
E00000417,0,0,1
E00000418,0,0,1
E00000419,0,0,1
E00000420,0,0,1
E00000421,0,0,1
E00000422,0,0,1
E00000423,0,0,1
E00000424,0,0,1
E00000425,0,0,1
E00000426,0,0,1
E00000427,0,0,1
E00000428,0,0,1
E00000429,0,0,1
E00000430,0,0,1
E00000431,0,0,1
E00000432,0,0,1
E00000433,0,0,1
E00000434,0,0,1
E00000435,0,0,1
E00000436,0,0,1
