startid,endid,routedist
E00005676,346,0.153958
E00015206,368,0.250986
E00005031,359,0.475648
E00017915,173,0.178476
E00013527,140,0.09693600000000001
E00005687,352,0.076945
E00004530,27,0.117597
E00016045,377,0.303661
E00012813,261,0.191923
E00171546,339,0.127127
E00166755,197,0.119458
E00015161,224,0.116283
E00019994,323,0.350255
E00021732,236,0.091585
E00021158,41,0.09741200000000001
E00009709,113,0.095431
E00021162,221,0.214483
E00020004,329,0.145662
E00176259,78,0.09664199999999999
E00008615,312,0.079884
E00176289,76,0.132518
E00015490,383,0.080711
E00020109,157,0.17797200000000002
E00021169,81,0.14271899999999998
E00176282,85,0.11699899999999999
E00008280,386,0.119923
E00013426,188,0.128789
E00017934,167,0.103446
E00013516,147,0.09180500000000001
E00017915,171,0.08857
E00013341,266,0.08036700000000001
E00006506,52,0.16093700000000002
E00022355,181,0.147377
E00020137,339,0.077771
E00020110,155,0.121049
E00005702,348,0.08932599999999999
E00006877,75,0.114899
E00004929,356,0.300572
E00009629,109,0.137168
E00005697,350,0.14299199999999998
E00004225,292,0.097501
E00020111,326,0.101486
E00019962,161,0.08689100000000001
E00015654,216,0.117217
E00020003,161,0.08265600000000001
E00005655,347,0.08741800000000001
E00176283,85,0.085477
E00020736,278,0.08672400000000001
E00004867,357,0.27232799999999996
E00013539,142,0.103813
E00008840,81,0.09163500000000001
E00015822,366,0.12913999999999998
E00009629,110,0.136157
E00020109,155,0.122614
E00015228,372,0.14056200000000002
E00013541,145,0.174428
E00022365,180,0.155839
E00002545,310,0.085098
E00009630,110,0.120372
E00022348,403,0.31256900000000004
E00021699,239,0.127394
E00005676,345,0.155532
E00012828,119,0.147884
E00008930,231,0.101053
E00167172,222,0.111833
E00013462,190,0.095613
E00015246,369,0.213533
E00000020,183,0.21832400000000002
E00006005,68,0.136127
E00006946,96,0.081293
E00017910,174,0.08623
E00004523,298,0.101716
E00021804,175,0.096391
E00022369,402,0.122565
E00016609,125,0.37803699999999996
E00020116,153,0.122182
E00009710,113,0.253578
E00012848,117,0.13928100000000002
E00013454,191,0.09694
E00006142,44,0.125407
E00024133,21,0.14438399999999998
E00013980,132,0.14325
E00015173,325,0.132189
E00004523,302,0.10437300000000001
E00019927,329,0.133233
E00015668,326,0.179719
E00021725,237,0.14641300000000002
E00017144,405,0.112902
E00020072,337,0.330198
E00019960,328,0.089067
E00008879,84,0.093369
E00176283,86,0.10665300000000001
E00006505,51,0.089514
E00006162,48,0.114581
E00015388,380,0.112406
E00015652,218,0.134795
E00016395,390,0.15736
E00020106,156,0.097356
E00004526,298,0.13084700000000002
E00006254,49,0.091869
E00022364,404,0.08853100000000001
E00024133,27,0.12923300000000001
E00000001,187,0.317036
E00006852,270,0.107861
E00016597,129,0.094068
E00023959,340,0.12783
